,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,Mid-level / Intermediate,Full-time,Data Scientist,79833,DE,No remote,DE,L
1,2020,Senior-level / Expert,Full-time,Machine Learning Scientist,260000,JP,No remote,JP,S
2,2020,Senior-level / Expert,Full-time,Big Data Engineer,109024,GB,Partially Remote,GB,M
3,2020,Mid-level / Intermediate,Full-time,Product Data Analyst,20000,HN,No remote,HN,S
4,2020,Senior-level / Expert,Full-time,Machine Learning Engineer,150000,US,Partially Remote,US,L
5,2020,Entry-level / Junior,Full-time,Data Analyst,72000,US,Fully remote,US,L
6,2020,Senior-level / Expert,Full-time,Lead Data Scientist,190000,US,Fully remote,US,S
7,2020,Mid-level / Intermediate,Full-time,Data Scientist,35735,HU,Partially Remote,HU,L
8,2020,Mid-level / Intermediate,Full-time,Business Data Analyst,135000,US,Fully remote,US,L
9,2020,Senior-level / Expert,Full-time,Lead Data Engineer,125000,NZ,Partially Remote,NZ,S
10,2020,Entry-level / Junior,Full-time,Data Scientist,51321,FR,No remote,FR,S
11,2020,Mid-level / Intermediate,Full-time,Data Scientist,40481,IN,No remote,IN,L
12,2020,Entry-level / Junior,Full-time,Data Scientist,39916,FR,No remote,FR,M
13,2020,Mid-level / Intermediate,Full-time,Lead Data Analyst,87000,US,Fully remote,US,L
14,2020,Mid-level / Intermediate,Full-time,Data Analyst,85000,US,Fully remote,US,L
15,2020,Mid-level / Intermediate,Full-time,Data Analyst,8000,PK,Partially Remote,PK,L
16,2020,Entry-level / Junior,Full-time,Data Engineer,41689,JP,Fully remote,JP,S
17,2020,Senior-level / Expert,Full-time,Big Data Engineer,114047,PL,Fully remote,GB,S
18,2020,Entry-level / Junior,Full-time,Data Science Consultant,5707,IN,Partially Remote,IN,M
19,2020,Mid-level / Intermediate,Full-time,Lead Data Engineer,56000,PT,Fully remote,US,M
20,2020,Mid-level / Intermediate,Full-time,Machine Learning Engineer,43331,CN,No remote,CN,M
